chapter	chaptertitle	chapterabbr	v	f	c	s1	s2	s3	semcat	old_chapter	old_subchapter					Old semcat (#2)	Old V.F (#2)	Old chptr (#2)	Note
2.21.1	Caponize		2	21	1	0	0	0	Vanim	2a.2	11.1								
2.21.2	Sting		2	21	2	0	0	0	Vanim	2a.2	14								
2.21.3	Animal Qualities		2	21	3	0	0	0	Vanim	2a.2	18								
2.21.4	Peck		2	21	4	0	0	0		2a.2	11								
3.0	Natural Objects, Plants, Foods		3	0	0	0	0		Nveg	2b	1.1								No actual lexicon records categorized as 2b/1.1
3.1	Plants		3	1	0	0	0	0											
3.1.1	Names of trees and shrubs		3	1	1	0	0	0	Nveg	2b.1	1.1								
3.1.2	Plant parts and types		3	1	2	0	0	0	Nveg	2b.1	1.2								
3.1.3	Leaves		3	1	3	0	0	0	Nveg	2b.1	3.4								
3.1.4	Seeds and flowers, nuts		3	1	4	0	0	0	Nveg	2b.1	3.1								
3.1.5	Fruits and vegetables		3	1	5	0	0	0	Nveg	2b.1	3.2								
3.1.5.1	Leafy vegetables		3	1	5	1	0	0	Nveg	2b.1	3.2.1								
3.1.6	Extracts and processed forms		3	1	6	0	0	0	Nveg	2b.1	3.3								
3.1.6.1	Spices		3	1	6	1	0	0	Nveg	2b.1	3.3.1								
3.1.6.2	Other ground and milled food		3	1	6	2	0	0	Nveg	2b.1	3.3.2								
3.1.6.3	Juices, beers, etc.		3	1	6	3	0	0	Nveg	2b.1	3.3.3								
3.1.6.4	Building, Non-edible		3	1	6	4	0	0	Nveg	2b.1	3.3.4								
3.1.7	Fungi		3	1	7	0	0	0	Nveg	2b.1	4.1								
3.1.8	Other wild plants		3	1	8	0	0	0	Nveg	2b.1	4.2								
3.1.9	Vegetative/Agricultural activity		3	1	9	0	0	0	Nveg	2b.1	5								
3.1.10	Verbs involving plants		3	1	10	0	0	0	Vveg	2b.2									
3.2	Natural Objects		3	2	0	0	0	0	Nnat	2c									
3.2.1	Weather and seasons		3	2	1	0	0	0	Nnat	2c.1	1								
3.2.2	Planets/Meteorological objects/Sky		3	2	2	0	0	0	Nnat	2c.1	3								
3.2.3	Water and other liquids		3	2	3	0	0	0	Nnat	2c.1	4								
3.2.4	Elements, metals, alloys		3	2	4	0	0	0	Nnat	2c.1	5								
3.2.5	Landforms and geographical features		3	2	5	0	0	0	Nnat	2c.1	6								
3.2.6	Natural disasters		3	2	6	0	0	0	Nnat	2c.1	7								
3.2.7	Cracks/Chasms/Crevices		3	2	7	0	0	0	Nnat	2c.1	8								
3.2.8	Organic matter/Organic compounds		3	2	8	0	0	0	Nnat	2c.1	9								
3.2.9	Rocks and minerals		3	2	9	0	0	0	Nnat	2c.1	10								
3.2.10	Light or lack of light		3	2	10	0	0	0	Nnat	2c.1	11								
3.2.11	Ground/Earth/Soil/Dirt		3	2	11	0	0	0	Nnat	2c.1	12								
3.3	Burn, illuminate		3	3	0	0	0	0	Vburn	2c.2									
3.3.1	Objects associated with fire		3	3	1	0	0	0	Nfire	2c.3	1								
3.3.2	Fire, flames, and burnt things		3	3	2	0	0	0	Nfire	2c.3	3.3								
4.0	Kinship Terms, Ethnonyms, Social Roles		4	0	0	0	0												
4.1	Pronouns		4	1	0	0	0	0	Nhum	3a	2								
4.2	Roles		4	2	0	0	0	0	Nhum	3a	3								
4.2.1	Occupations		4	2	1	0	0	0	Nhum	3a	3.1								
4.2.1.1	Agriculture/Husbandry/Hunting		4	2	1	1	0	0	Nhum	3a	3.1.1								
4.2.1.2	Commercial Roles		4	2	1	2	0	0	Nhum	3a	3.1.2								
4.2.1.3	?		4	2	1	3	0	0											
4.2.1.4	Artists and Artisans		4	2	1	4	0	0	Nhum	3a	3.1.4								
4.2.1.5	Health-care		4	2	1	5	0	0	Nhum	3a	3.1.5								
4.2.1.6	Ceremonial		4	2	1	6	0	0	Nhum	3a	3.1.6								
4.2.1.7	General		4	2	1	7	0	0	Nhum	3a	3.1.7								
4.2.2	Teacher-Student roles		4	2	2	0	0	0	Nhum	3a	3.2								
4.2.3	General roles		4	2	3	0	0	0	Nhum	3a	3.3								
4.2.4	Religious Roles		4	2	4	0	0	0	Nhum	3a	4								
4.2.5	Nobility		4	2	5	0	0	0	Nhum	3a	5								
4.2.5.1	Titles		4	2	5	1	0	0	Nhum	3a	5.1.2								
4.2.5.2	Civil leaders		4	2	5	2	0	0	Nhum	3a	5.2								
4.2.5.3	Owners		4	2	5	3	0	0	Nhum	3a	5.4								
4.2.6	Military roles		4	2	6	0	0	0	Nhum	3a	6								
4.2.7	Challenged		4	2	7	0	0	0	Nhum	3a	7.1								
4.2.8	Marital roles		4	2	8	0	0	0	Nhum	3a	7.2								
4.2.9	Sporting		4	2	9	0	0	0	Nhum	3a	8								
4.2.10	Servants		4	2	10	0	0	0	Nhum	3a	10								
4.2.11	Stages of growth		4	2	11	0	0	0	Nhum	3a	9.1								
4.2.12	Pejorative/Deprecated Roles		4	2	12	0	0	0											
4.2.12.1	Criminals		4	2	12	1	0	0	Nhum	3a	11.1								
4.2.12.2	Scary things		4	2	12	2	0	0	Nhum	3a	11.2								
4.2.12.3	Insulting names		4	2	12	3	0	0	Nhum	3a	11.3								
4.3	People		4	3	0	0	0	0	Nhum	3a	9.2								Not sure where to put this
4.4	Groups		4	4	0	0	0	0	Nhum	3a	12								
4.4.1	Generic person terms		4	4	1	0	0	0		3a									Should this go under "Groups"?
4.4.2	Clans and neighbors		4	4	2	0	0	0	Nhum	3a	12.2								
4.4.3	Outsiders		4	4	3	0	0	0	Nhum	3a	12.3								
4.4.4	Friends and Acquaintances		4	4	4	0	0	0	Nhum	3a	12.4								No lexicon records with this category
4.5	Other Collective terms		4	5	0	0	0	0	Nhum	3a	13								
4.6	Ethnonyms/Place names		4	6	0	0	0	0	Nhum	3a	1								
4.7	Kinship Terms		4	7	0	0	0	0	Nkin	3b	0								
4.7.1	Previous generation		4	7	1	0	0	0	Nkin	3b	1								
4.7.2	Same generation		4	7	2	0	0	0	Nkin	3b	2								
4.7.3	Later generation		4	7	3	0	0	0	Nkin	3b	3								
4.7.4	Related by marriage		4	7	4	0	0	0	Nkin	3b	4								
4.7.5	General		4	7	5	0	0	0	Nkin	3b	5								
5.0	Culture, Artifacts, Religion		5	0	0	0	0												
5.1	Waste products		5	1	0	0	0	0	Nwast	9a									
5.2	Writing Implements		5	2	0	0	0	0	Nwrit	9a									
5.3	Diseases		5	3	0	0	0	0	Nmed	9a	1								
5.4	Instruments and therapies		5	4	0	0	0	0	Nmed	9a	2								
5.5	Cooking Implements		5	5	0	0	0	0	Ncook	9b									
5.6	Culinary nouns		5	6	0	0	0	0	Nfood	9b									
5.7	Culinary verbs		5	7	0	0	0	0	Vfood	9b									
5.8	Religion		5	8	0	0	0	0	Nrel	9d									
5.8.1	?		5	8	1	0	0	0											
5.8.1.1	Deities/Spiritual Beings		5	8	1	1	0	0	Nrel	9d	1.1								
5.8.1.2	Spiritual Beings		5	8	1	2	0	0	Nrel	9d	1.2								
5.8.1.3	General/Other Religious		5	8	1	3	0	0	Nrel	9d	1.3								
5.8.2	Categories of people ?		5	8	2	0	0	0	Nrel	9d	2								
5.8.2.1	Occupations		5	8	2	1	0	0	Nrel	9d	2.1								
5.8.2.2	Group appellation		5	8	2	2	0	0	Nrel	9d	2.2								
5.8.2.3	Religious persons/things		5	8	2	3	0	0	Nrel	9d	2.3								
5.8.3	?		5	8	3	0	0	0											
5.8.3.1	Religious Events		5	8	3	1	0	0	Nrel	9d	3.1								
5.8.3.2	Magical		5	8	3	2	0	0	Nrel	9d	3.2								
5.8.4	Heaven/Hell		5	8	4	0	0	0	Nrel	9d	4								
5.8.5	Sin ?		5	8	5	0	0	0	Nrel	9d	8.2								
5.9	Monetary Tems		5	9	0	0	0	0	N$	9d									
5.10	Items of Culture		5	10	0	0	0	0	Ncult	9d									
5.11	Artifacts (unclassified as yet)		5	11	0	0	0	0	Nart	9f									
5.11.1	Containers		5	11	1	0	0	0	Ncont	9a									
5.11.2	Conveyances		5	11	2	0	0	0	Nconv	9a									
5.11.3	Musical objects		5	11	3	0	0	0	Nmus	9a									
5.11.4	Rope		5	11	4	0	0	0	Nrope	9a									
5.11.5	Tools		5	11	5	0	0	0	Ntool	9a									
5.11.5.1	Agricultural use		5	11	5	1	0	0	Ntool	9a	1								
5.11.5.2	Home/Non-specialized use		5	11	5	2	0	0	Ntool	9a	2								
5.11.5.3	Cutting/Boring		5	11	5	3	0	0	Ntool	9a	3								
5.11.5.4	Workshop use/Equipment		5	11	5	4	0	0	Ntool	9a	4								
5.11.5.6	Equipment		5	11	5	6	0	0	Ntool	9a	6								
5.11.6	Textile		5	11	6	0	0	0	Ntxtl	9a									
5.11.7	Ornaments		5	11	7	0	0	0	Norn	9d									
5.11.8	Ornamentation		5	11	8	0	0	0	Vorn	9d									
5.11.8.1	Footwear		5	11	8	1	0	0	Npers	3c	1					Npers	3c		
5.11.8.2	?		5	11	8	2	0	0											
5.11.8.2.1	Clothes (general)		5	11	8	2	1	0	Npers	3c	2.1								
5.11.8.2.1.1	Head		5	11	8	2	1	1	Npers	3c	2.1.1								
5.11.8.2.1.2	Upper body		5	11	8	2	1	2	Npers	3c	2.1.2								
5.11.8.2.1.3	Lower body		5	11	8	2	1	3	Npers	3c	2.1.3								
5.11.8.2.2	Special clothes and equipment		5	11	8	2	2	0	Npers	3c	2.2								
5.11.8.2.3	Parts of clothing		5	11	8	2	3	0	Npers	3c	2.3								
5.11.8.3	Jewelry and Accessories		5	11	8	3	0	0	Npers	3c	3								
5.11.8.4	Toiletries		5	11	8	4	0	0	Npers	3c	4								
5.11.9	Dwellings		5	11	9	0	0	0	Ndwel	9c									
5.11.9.1	Kinds of dwellings		5	11	9	1	0	0	Ndwel	9c	1								
5.11.9.2	Rooms		5	11	9	2	0	0	Ndwel	9c	2								
5.11.9.3	Parts of the structure		5	11	9	3	0	0	Ndwel	9c	3								
5.11.9.3.1	Internal		5	11	9	3	1	0	Ndwel	9c	3.1								
5.11.9.3.2	External		5	11	9	3	2	0	Ndwel	9c	3.2								
5.11.9.4	Furnishings		5	11	9	4	0	0	Ndwel	9c	4								
5.11.9.5	Outdoor/Temporary structures		5	11	9	5	0	0	Ndwel	9c	5								
5.11.9.6	General		5	11	9	6	0	0	Ndwel	9c	6								
5.11.10	Fasteners		5	11	10	0	0	0	Nfast	9c									
5.11.11	Construction		5	11	11	0	0	0	Ncstr	9c									
5.12	Leisure		5	12	0	0	0	0	Nleis	9d									
5.13	Social interactions		5	13	0	0	0	0	Nsoc	9d									
5.14	Husbandry		5	14	0	0	0	0	Nhusb	9e									
5.15	War and violence		5	15	0	0	0	0	Nwar	9e									
6.0	Verbs of Motion, of Manipulation, and of Production		6	0	0	0	0												
6.1	?		6	1	0	0	0	0											
6.1.1	Affect		6	1	1	0	0	0	Vact	4a	1								
6.1.1.1	To do/act		6	1	1	1	0	0	Vact	4a	1.1								
6.1.1.1.1	Redo, repeat		6	1	1	1	1	0	Vact	4a	1.1.2								
6.1.1.3	Play		6	1	1	3	0	0	Vact	4a	1.3								
6.1.1.4	Lie		6	1	1	4	0	0	Vact	4a	1.4								
6.1.1.4.1	Sit		6	1	1	4	1	0	Vact	4a	1.4.1								
6.1.1.4.1.1	Sprawl		6	1	1	4	1	1	Vact	4a	1.4.2.1								
6.1.1.4.2	Fall		6	1	1	4	2	0	Vact	4a	1.4.4								
6.1.1.5	Hang		6	1	1	5	0	0	Vact	4a	1.5								
6.1.1.6	Wait		6	1	1	6	0	0	Vact	4a	1.6								
6.2	Action Verbs with Patient		6	2	0	0	0	0	Vact	4a									
6.2.2	?		6	2	2	0	0	0											
6.2.2.1	Assorted action verbs		6	2	2	1	0	0	Vact	4a	2.1								
6.2.2.2	Move an object		6	2	2	2	0	0	Vact	4a	2.2								
6.2.2.2.1	Carry		6	2	2	2	1	0	Vact	4a	2.2.1								
6.2.2.2.2	Bring		6	2	2	2	2	0	Vact	4a	2.2.3								
6.2.2.3	?		6	2	2	3	0	0											
6.2.2.3.1	Push		6	2	2	3	1	0	Vact	4a	2.3.1								
6.2.2.3.2	Pull		6	2	2	3	2	0	Vact	4a	2.3.2								
6.2.2.3.3	Kick		6	2	2	3	3	0	Vact	4a	2.3.4								
6.2.2.5	?		6	2	2	5	0	0											
6.2.2.5.1	Clear		6	2	2	5	1	0	Vact	4a	2.5.1								
6.2.2.5.2	Wash (v.i./v.t.)		6	2	2	5	2	0	Vact	4a	2.5.2								
6.2.2.5.3	Sweep		6	2	2	5	3	0	Vact	4a	2.5.3								
6.2.2.6	?		6	2	2	6	0	0											
6.2.2.6.1	Open		6	2	2	6	1	0	Vact	4a	2.6.1								
6.2.2.6.2	Close		6	2	2	6	2	0	Vact	4a	2.6.2								
6.2.2.7	?		6	2	2	7	0	0											
6.2.2.7.1	Use		6	2	2	7	1	0	Vact	4a	2.7.1								
6.2.2.7.2	Practice		6	2	2	7	2	0	Vact	4a	2.7.2								
6.2.2.8	Show		6	2	2	8	0	0	Vact	4a	2.8								
6.2.2.9	?		6	2	2	9	0	0											
6.2.2.9.1	Write		6	2	2	9	1	0	Vact	4a	2.9.1								
6.2.2.9.2	Draw		6	2	2	9	2	0	Vact	4a	2.9.2								
6.2.2.9.3	Read		6	2	2	9	3	0	Vact	4a	2.9.3								
6.3	Friction		6	3	0	0	0	0	Vrub	4a.2									
6.4	Harm		6	4	0	0	0	0	Vharm	4b.1									
6.5	Fighting		6	5	0	0	0	0	Vfigh	4b.2									
6.5.1	Opposition		6	5	1	0	0	0		4b.2	8								
6.6	Verbs requiring liquids		6	6	0	0	0	0	Vliq	4b.3									
6.6.1	Float		6	6	1	0	0	0	Vliq	4b.3	5								
6.6.2	Dissolve		6	6	2	0	0	0	Vliq	4b.3	9								
6.7	?		6	7	0	0	0	0											
6.7.1	Inward		6	7	1	0	0	0	Vmot	4b.4	1								
6.7.2	Outward		6	7	2	0	0	0	Vmot	4b.4	2								
6.7.3	Awkwardly, Irregularly		6	7	3	0	0	0	Vmot	4b.4	3								
6.7.4	Regular, Cyclic, Smoothly		6	7	4	0	0	0	Vmot	4b.4	4								
6.7.5	Medium Primary (e.g. air)		6	7	5	0	0	0	Vmot	4b.4	5								
6.7.6	Circularly		6	7	6	0	0	0	Vmot	4b.4	6								
6.7.7	Up, etc.		6	7	7	0	0	0	Vmot	4b.4	7								
6.7.8	Downward		6	7	8	0	0	0	Vmot	4b.4	8								
6.7.9	Manner is primary		6	7	9	0	0	0	Vmot	4b.4	9								
6.7.10	Move with something else		6	7	10	0	0	0	Vmot	4b.4	10								
6.7.11	Movement (general)		6	7	11	0	0	0	Vmot	4b.4	11								
6.8	Striking, hitting verbs		6	8	0	0	0	0	Vhit	4c.1									
6.9	Undoing		6	9	0	0	0	0	Vundo	4c.5									
6.9.1	Peel		6	9	1	0	0	0		4c.4									
6.9.2	Carve, shave		6	9	2	0	0	0	Vcut	4c.4	1								
6.9.3	Chop, slice		6	9	3	0	0	0	Vcut	4c.4	2								
6.9.4	Mince, shred		6	9	4	0	0	0	Vcut	4c.4	3								
6.10	Loss, separation		6	10	0	0	0	0	Vsep	4c.7									
6.10.1	Unintentional loss -Misplace		6	10	1	0	0	0	Vsep	4c.7	1.1								
6.10.2	Intentional loss - Abandon		6	10	2	0	0	0	Vsep	4c.7	1.2								
6.10.3	Wide separation - Scatter		6	10	3	0	0	0	Vsep	4c.7	2								
6.10.4	Intentional separation - Sort		6	10	4	0	0	0	Vsep	4c.7	4								
6.11	Digging, excavation		6	11	0	0	0	0	Vdig	4c.8									
6.12	Throwing		6	12	0	0	0	0	Vthrw	4c.9									
6.13	Convergence		6	13	0	0	0	0	Vjoin	4d.2									
6.13.1	Tying		6	13	1	0	0	0	Vjoin	4d.2	1.1								
6.13.2	Adhesion		6	13	2	0	0	0	Vjoin	4d.2	1.2								
6.13.3	With Tools		6	13	3	0	0	0	Vjoin	4d.2	1.3								
6.13.4	Mix		6	13	4	0	0	0	Vjoin	4d.2	3								
6.13.5	Join (general)		6	13	5	0	0	0	Vjoin	4d.2	5								
6.14	Construction		6	14	0	0	0	0	Vmake	4d.3									
6.15	Repair		6	15	0	0	0	0	Vmend	4d.4									
6.16	Holding		6	16	0	0	0	0	Vhold	4e.2									
6.17	Putting		6	17	0	0	0	0	Vput	4e.3									
6.18	Possession		6	18	0	0	0	0	Vhave	4e.4									
6.19	Social action		6	19	0	0	0	0	Vsoc	4f.1									
6.20	Helping		6	20	0	0	0	0	Vhelp	4f.2									
6.21	Acquisitions		6	21	0	0	0	0	Vacq	4f.3									
6.22	Exchanges		6	22	0	0	0	0	Vexch	4f.4									
6.23	Giving		6	23	0	0	0	0	Vgive	4f.5									
7.0	Adjectival Verbs		7	0	0	0	0												
7.1	Adjectives and attributives		7	1	0	0	0	0	Vadj	5c									
7.1.1	Emotive		7	1	1	0	0	0	Vadj	5c	1								
7.1.2	?		7	1	2	0	0	0											
7.1.2.1	Quantity - general		7	1	2	1	0	0	Vadj	5c	2.1								
7.1.2.2	Degree		7	1	2	2	0	0	Vadj	5c	2.2								
7.1.2.3	Temperature		7	1	2	3	0	0	Vadj	5c	2.4								
7.1.3	?		7	1	3	0	0	0											
7.1.3.1	General - other than appearance		7	1	3	1	0	0	Vadj	5c	3.1								
7.1.3.2	Appearance		7	1	3	2	0	0	Vadj	5c	3.2								
7.1.4	?		7	1	4	0	0	0											
7.1.4.1	Sight		7	1	4	1	0	0	Vadj	5c	4.1								
7.1.4.2	Feel/Tactile/Texture		7	1	4	2	0	0	Vadj	5c	4.2								
7.1.4.3	Hear		7	1	4	3	0	0	Vadj	5c	4.3								
7.1.4.4	Taste		7	1	4	4	0	0	Vadj	5c	4.4								
7.1.4.5	Smell		7	1	4	5	0	0	Vadj	5c	4.5								
7.1.5	?		7	1	5	0	0	0											
7.1.5.1	General - form		7	1	5	1	0	0	Vadj	5c	5.1								
7.1.5.2	Texture		7	1	5	2	0	0	Vadj	5c	5.2								
7.1.5.3	Position - high/low		7	1	5	3	0	0	Vadj	5c	5.3								
7.1.5.4	Position - front/back/side-side		7	1	5	4	0	0	Vadj	5c	5.4								
7.1.6	?		7	1	6	0	0	0											
7.1.6.1	Single/part/few		7	1	6	1	0	0	Vadj	5c	6.1								
7.1.6.2	Accompanied/whole/many		7	1	6	2	0	0	Vadj	5c	6.2								
7.1.7	?		7	1	7	0	0	0											
7.1.7.1	Unique/important/special		7	1	7	1	0	0	Vadj	5c	7.1								
7.1.7.2	Mundane/unimportant/same/routine		7	1	7	2	0	0	Vadj	5c	7.2								
7.1.8	?		7	1	8	0	0	0											
7.1.8.1	Positive term		7	1	8	1	0	0	Vadj	5c	8.1								
7.1.8.2	Negative term		7	1	8	2	0	0	Vadj	5c	8.2								
7.1.8.3	Neutral term		7	1	8	3	0	0	Vadj	5c	8.3								
7.1.10	Abruptly		7	1	10	0	0	0	Vadj	5c	10								
7.1.11	?		7	1	11	0	0	0											
7.1.11.1	Light		7	1	11	1	0	0	Vadj	5c	11.1								
7.1.11.2	Dark		7	1	11	2	0	0	Vadj	5c	11.2								
8.0	Abstract Nouns and Verbs, Psychological Verbs, Verbs of Utterance		8	0	0	0	0												
8.1	Abstract Entities		8	1	0	0	0	0	Nabst	5a									
8.2	Abstract verbs		8	2	0	0	0	0	Vabst	5b									
8.2.1	Be		8	2	1	0	0	0	Vabst	5b	1.2.3								
8.3	Psychological verbs		8	3	0	0	0	0	Vpsi	5d									
8.3.1	?		8	3	1	0	0	0											
8.3.1.1	?		8	3	1	1	0	0											
8.3.1.1.1	Like		8	3	1	1	1	0	Vpsi	5d	1.1.1								
8.3.1.1.2	Dislike		8	3	1	1	2	0	Vpsi	5d	1.1.2								
8.3.1.1.3	Satisfied		8	3	1	1	3	0	Vpsi	5d	1.1.3								
8.3.1.2	?		8	3	1	2	0	0											
8.3.1.2.1	Accept		8	3	1	2	1	0	Vpsi	5d	1.2.1								
8.3.1.3	Commend		8	3	1	3	0	0	Vpsi	5d	1.3								
8.3.1.3.1	Blame		8	3	1	3	1	0	Vpsi	5d	1.3.2								
8.3.1.4	?		8	3	1	4	0	0											
8.3.1.4.1	Agree		8	3	1	4	1	0	Vpsi	5d	1.4.1								
8.3.1.5	?		8	3	1	5	0	0											
8.3.1.5.1	Happy		8	3	1	5	1	0	Vpsi	5d	1.5.1								
8.3.1.5.1.1	Grief		8	3	1	5	1	1	Vpsi	5d	1.5.2.2								
8.3.1.5.2	Sad		8	3	1	5	2	0	Vpsi	5d	1.5.2								
8.3.1.5.3	Emotional		8	3	1	5	3	0	Vpsi	5d	1.5.3								
8.3.1.5.4	Enthusiastic		8	3	1	5	4	0	Vpsi	5d	1.5.4								
8.3.1.5.5	Excited		8	3	1	5	5	0	Vpsi	5d	1.5.6								
8.3.1.5.6	Frustrated		8	3	1	5	6	0	Vpsi	5d	1.5.7								
8.3.1.6	?		8	3	1	6	0	0											
8.3.1.6.1	Angry		8	3	1	6	1	0	Vpsi	5d	1.6.1					Vpsi	5d	1	
8.3.1.6.2	Distress		8	3	1	6	2	0	Vpsi	5d	1.6.2								
8.3.1.7	Procrastinate?		8	3	1	7	0	0	Vpsi	5d	1.7								Only one gloss for this category
8.3.1.7.1	Positive		8	3	1	7	1	0	Vpsi	5d	1.7.1								
8.3.1.7.2	Negative (e.g. dread)		8	3	1	7	2	0	Vpsi	5d	1.7.2								
8.3.1.7.3	Neutral or ambiguous		8	3	1	7	3	0	Vpsi	5d	1.7.3								
8.3.1.7.4	Relieved		8	3	1	7	4	0	Vpsi	5d	1.7.5								
8.3.1.8	?		8	3	1	8	0	0											
8.3.1.8.1	Willing		8	3	1	8	1	0	Vpsi	5d	1.8.3								
8.3.1.9	?		8	3	1	9	0	0											
8.3.1.9.1	Surprised		8	3	1	9	1	0	Vpsi	5d	1.9.1								
8.3.1.9.2	Worry		8	3	1	9	2	0	Vpsi	5d	1.9.2								
8.3.1.10	?		8	3	1	10	0	0											
8.3.1.10.1	Fear		8	3	1	10	1	0	Vpsi	5d	1.10.2								
8.3.1.10.2	?		8	3	1	10	2	0											
8.3.1.10.2.1	Positive		8	3	1	10	2	1	Vpsi	5d	1.10.4.								Category is truncated in lexicon table (should be 1.10.4.1)
8.3.1.10.3	Hesitate		8	3	1	10	3	0	Vpsi	5d	1.10.5								
8.3.1.11	?		8	3	1	11	0	0											
8.3.1.11.1	Alert		8	3	1	11	1	0	Vpsi	5d	1.11.1								
8.3.1.11.2	Tired		8	3	1	11	2	0	Vpsi	5d	1.11.10								
8.3.1.11.3	Thrilled, Dizzy		8	3	1	11	3	0	Vpsi	5d	1.11.11								
8.3.1.12	?		8	3	1	12	0	0											
8.3.1.12.1	Know, Believe		8	3	1	12	1	0	Vpsi	5d	1.12.1								
8.3.1.13	Think/plan		8	3	1	13	0	0	Vpsi	5d	1.13								
8.3.1.13.1	Think		8	3	1	13	1	0	Vpsi	5d	1.13.1								
8.3.1.13.2	Plan		8	3	1	13	2	0	Vpsi	5d	1.13.2								
8.3.1.13.3	Imagination		8	3	1	13	3	0	Vpsi	5d	1.13.8								
8.3.1.14	?		8	3	1	14	0	0											
8.3.1.14.1	Longing		8	3	1	14	1	0	Vpsi	5d	1.14.1								
8.3.1.14.2	Avarice		8	3	1	14	2	0	Vpsi	5d	1.14.2								
8.3.1.14.3	Desirable		8	3	1	14	3	0	Vpsi	5d	1.14.3								
8.3.1.15	Awe		8	3	1	15	0	0	Vpsi	5d	1.15								
8.3.1.16	?		8	3	1	16	0	0											
8.3.1.16.1	Forget		8	3	1	16	1	0	Vpsi	5d	1.16.1								
8.3.2	?		8	3	2	0	0	0											
8.3.2.1	?		8	3	2	1	0	0											
8.3.2.1.1	Friendly		8	3	2	1	1	0	Vpsi	5d	2.1.1								
8.3.2.2	?		8	3	2	2	0	0											
8.3.2.2.1	Appease		8	3	2	2	1	0	Vpsi	5d	2.2.1								
8.3.2.3	?		8	3	2	3	0	0											
8.3.2.3.1	Comfort		8	3	2	3	1	0	Vpsi	5d	2.3.1								
8.3.2.3.2	Pity		8	3	2	3	2	0	Vpsi	5d	2.3.2								
8.3.2.3.3	Encourage		8	3	2	3	3	0	Vpsi	5d	2.3.3								
8.3.2.4	Conspire		8	3	2	4	0	0	Vpsi	5d	2.4								
8.3.2.5	?		8	3	2	5	0	0											
8.3.2.5.1	Defer		8	3	2	5	1	0	Vpsi	5d	2.5.1								
8.3.2.5.2	Honor		8	3	2	5	2	0	Vpsi	5d	2.5.2								
8.3.2.5.3	Flatter		8	3	2	5	3	0	Vpsi	5d	2.5.3								
8.3.2.5.4	Tolerate		8	3	2	5	4	0	Vpsi	5d	2.5.4								
8.3.2.5.5	Ignore		8	3	2	5	5	0	Vpsi	5d	2.5.5								
8.3.2.5.6	Disobedient		8	3	2	5	6	0	Vpsi	5d	2.5.6								
8.3.2.5.7	Trust		8	3	2	5	7	0	Vpsi	5d	2.5.7								
8.3.2.6	?		8	3	2	6	0	0											
8.3.2.6.1	Admire		8	3	2	6	1	0	Vpsi	5d	2.6.1								
8.3.2.6.2	Envy		8	3	2	6	2	0	Vpsi	5d	2.6.2								
8.3.2.7	?		8	3	2	7	0	0											
8.3.2.7.1	Flirt, seduce		8	3	2	7	1	0	Vpsi	5d	2.7.1								
8.3.2.7.2	Entice, tempt		8	3	2	7	2	0	Vpsi	5d	2.7.2								
8.3.2.8	Grudge		8	3	2	8	0	0	Vpsi	5d	2.8								
8.3.2.9	?		8	3	2	9	0	0											
8.3.2.9.1	Forgive		8	3	2	9	1	0	Vpsi	5d	2.9.1								
8.3.3	?		8	3	3	0	0	0											
8.3.3.1	Conscience/Vengeance		8	3	3	1	0	0	Vpsi	5d	3.1								3 lexical items in db with this SemCat
8.3.3.2	?		8	3	3	2	0	0											
8.3.3.2.1	Kind		8	3	3	2	1	0	Vpsi	5d	3.2.1								
8.3.3.2.2	Cruel		8	3	3	2	2	0	Vpsi	5d	3.2.2								
8.3.3.3	?		8	3	3	3	0	0											
8.3.3.3.1	Discern		8	3	3	3	1	0	Vpsi	5d	3.3.1								
8.3.3.4	?		8	3	3	4	0	0											
8.3.3.4.1	Honest		8	3	3	4	1	0	Vpsi	5d	3.4.1								
8.3.3.4.2	Earnest/sincere		8	3	3	4	2	0	Vpsi	5d	3.4.3								
8.3.3.4.3	Deceive		8	3	3	4	3	0	Vpsi	5d	3.4.4								
8.3.3.4.3.1	Positive/neutral		8	3	3	4	3	1	Vpsi	5d	3.4.4.1								
8.3.3.4.3.2	Negative		8	3	3	4	3	2	Vpsi	5d	3.4.4.2								
8.3.3.5	?		8	3	3	5	0	0											
8.3.3.6	?		8	3	3	6	0	0											
8.3.3.6.1	Guilty		8	3	3	6	1	0	Vpsi	5d	3.6.2								
8.3.3.7	?		8	3	3	7	0	0											
8.3.3.8	Pride		8	3	3	8	0	0	Vpsi	5d	3.8								
8.3.3.8.1	Modest		8	3	3	8	1	0	Vpsi	5d	3.8.1								
8.3.3.8.2	Ashamed		8	3	3	8	2	0	Vpsi	5d	3.8.3								
8.3.3.9	Correct		8	3	3	9	0	0	Vpsi	5d	3.10								
8.4	Feeling		8	4	0	0	0	0	Vfeel	5e									
8.5	Utterance		8	5	0	0	0	0	Vutt	5f									
8.5.1	Scold		8	5	1	0	0	0	Vutt	5f	1								
8.5.2	?		8	5	2	0	0	0											
8.5.2.1	Complain		8	5	2	1	0	0	Vutt	5f	2.1								
8.5.2.2	Complement, praise		8	5	2	2	0	0	Vutt	5f	2.2								
8.5.3	Declare		8	5	3	0	0	0	Vutt	5f	3								
8.5.4	?		8	5	4	0	0	0											
8.5.4.1	Loud		8	5	4	1	0	0	Vutt	5f	4.1								
8.5.4.2	Soft		8	5	4	2	0	0	Vutt	5f	4.2								
